Flagged Transactions: [Withdrawal of more than $75.00 or Deposit of more than $350.00]
Actions              Agent                Flagged Value		 Timestamp  
-----------------    ---------------      ----------		 ----------------- 
Deposit              Agent DT1            $446.00   		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT10           $99.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT7            $78.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT8            $77.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT3            $78.00    		 2022-06-02 06:19:43 PM EDT 
Deposit              Agent DT3            $391.00   		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT9            $85.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT2            $77.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT3            $76.00    		 2022-06-02 06:19:43 PM EDT 
Deposit              Agent DT1            $390.00   		 2022-06-02 06:19:43 PM EDT 
Deposit              Agent DT1            $436.00   		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT4            $81.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT10           $93.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT1            $97.00    		 2022-06-02 06:19:43 PM EDT 
Deposit              Agent DT4            $357.00   		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT10           $78.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT8            $76.00    		 2022-06-02 06:19:43 PM EDT 
Deposit              Agent DT5            $422.00   		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT2            $87.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT7            $90.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT9            $84.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT5            $84.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT8            $77.00    		 2022-06-02 06:19:43 PM EDT 
Withdraw             Agent WT10           $90.00    		 2022-06-02 06:19:44 PM EDT 
